# { 't_start': 1764629061.984163, 'env_id': 'MiniGrid-Dynamic-Cardinal' }
r,l,t
0.95078125,14,0.28873181343078613
0.95078125,14,0.2917449474334717
0.926171875,21,0.2975938320159912
0.9578125,12,0.3007838726043701
0.96484375,10,0.31064867973327637
0.95078125,14,0.31523680686950684
0.96484375,10,0.3175480365753174
0.961328125,11,0.3199138641357422
0.9578125,12,0.3300900459289551
0.95078125,14,0.3339548110961914
0.940234375,17,0.33760690689086914
0.95078125,14,0.34286999702453613
0.954296875,13,0.3466057777404785
0.961328125,11,0.34906911849975586
0.961328125,11,0.35158491134643555
0.96484375,10,0.35367488861083984
0.96484375,10,0.35590195655822754
0.954296875,13,0.35881972312927246
0.9578125,12,0.3905007839202881
0.9578125,12,0.3930790424346924
0.954296875,13,0.3958299160003662
0.9578125,12,0.4028480052947998
0.961328125,11,0.41057372093200684
0.954296875,13,0.4146268367767334
0.96484375,10,0.41671299934387207
0.96484375,10,0.41875672340393066
0.9578125,12,0.42153501510620117
0.9015625,28,0.4275648593902588
0.96484375,10,0.4297459125518799
0.95078125,14,0.43283891677856445
0.947265625,15,0.4411437511444092
0.961328125,11,0.44399094581604004
0.940234375,17,0.4475219249725342
0.96484375,10,0.45406270027160645
0.96484375,10,0.4620218276977539
-1,4,0.46502184867858887
0.940234375,17,0.4686610698699951
0.96484375,10,0.4708108901977539
0.940234375,17,0.47539591789245605
0.954296875,13,0.47897982597351074
-1,1,0.4806997776031494
0.96484375,10,0.4865758419036865
0.96484375,10,0.49468398094177246
0.961328125,11,0.5011739730834961
0.961328125,11,0.5035877227783203
0.961328125,11,0.5060458183288574
0.947265625,15,0.509598970413208
0.961328125,11,0.5172898769378662
0.9578125,12,0.522165060043335
0.947265625,15,0.5256309509277344
-1,1,0.5262017250061035
0.9578125,12,0.5313620567321777
0.95078125,14,0.5514869689941406
-1,1,0.5519638061523438
0.96484375,10,0.5544238090515137
0.9578125,12,0.5573909282684326
0.96484375,10,0.5614588260650635
0.94375,16,0.5652427673339844
0.954296875,13,0.5681688785552979
0.940234375,17,0.5724008083343506
0.9578125,12,0.5748879909515381
0.95078125,14,0.5780417919158936
0.954296875,13,0.5810329914093018
0.96484375,10,0.5833108425140381
0.954296875,13,0.5859189033508301
-1,1,0.58624267578125
-1,8,0.5880167484283447
0.947265625,15,0.5921399593353271
0.954296875,13,0.5949859619140625
0.933203125,19,0.5992650985717773
0.9578125,12,0.6020097732543945
