# { 't_start': 1764624044.2646568, 'env_id': 'MiniGrid-Dynamic-Cardinal' }
r,l,t
0.947265625,15,0.002838134765625
0.933203125,19,0.006925821304321289
0.96484375,10,0.008893966674804688
0.95078125,14,0.011596918106079102
0.954296875,13,0.01411581039428711
0.926171875,21,0.017971038818359375
0.947265625,15,0.021083831787109375
0.96484375,10,0.023020029067993164
0.96484375,10,0.025113821029663086
0.95078125,14,0.02805781364440918
0.954296875,13,0.030559062957763672
0.93671875,18,0.03394317626953125
0.95078125,14,0.03673291206359863
0.93671875,18,0.04029083251953125
0.961328125,11,0.04250288009643555
0.947265625,15,0.04550576210021973
0.94375,16,0.04868793487548828
0.96484375,10,0.05062580108642578
0.961328125,11,0.052825927734375
0.9578125,12,0.05516695976257324
0.95078125,14,0.05780792236328125
0.961328125,11,0.05985283851623535
0.96484375,10,0.06176185607910156
0.961328125,11,0.06400108337402344
0.926171875,21,0.06820201873779297
0.961328125,11,0.07041478157043457
0.961328125,11,0.07254981994628906
0.933203125,19,0.07673501968383789
0.940234375,17,0.08005309104919434
0.947265625,15,0.08285903930664062
0.96484375,10,0.0847938060760498
0.96484375,10,0.0867757797241211
0.954296875,13,0.08946490287780762
0.96484375,10,0.09146595001220703
0.9578125,12,0.09386086463928223
-1,1,0.09420084953308105
0.954296875,13,0.0966789722442627
0.96484375,10,0.09871697425842285
0.9578125,12,0.10105395317077637
0.94375,16,0.10425615310668945
0.9578125,12,0.10657382011413574
0.9578125,12,0.10896682739257812
0.947265625,15,0.111846923828125
0.961328125,11,0.11405706405639648
0.954296875,13,0.11681294441223145
0.954296875,13,0.11945390701293945
0.940234375,17,0.12275004386901855
0.961328125,11,0.12494182586669922
0.940234375,17,0.12817096710205078
0.954296875,13,0.13075780868530273
0.95078125,14,0.13350510597229004
0.961328125,11,0.13567805290222168
0.954296875,13,0.1383681297302246
0.96484375,10,0.1404130458831787
0.961328125,11,0.14255690574645996
0.94375,16,0.1456010341644287
0.9578125,12,0.14799809455871582
-1,2,0.14855098724365234
0.9578125,12,0.1508030891418457
0.9578125,12,0.15323805809020996
0.926171875,21,0.15709590911865234
0.933203125,19,0.1607189178466797
0.93671875,18,0.16404414176940918
0.9578125,12,0.16646695137023926
0.954296875,13,0.16898298263549805
0.94375,16,0.1721479892730713
0.93671875,18,0.17560505867004395
0.9296875,20,0.1795499324798584
0.9578125,12,0.18191790580749512
0.96484375,10,0.1839590072631836
0.954296875,13,0.18669795989990234
0.95078125,14,0.1894688606262207
0.96484375,10,0.19146490097045898
0.95078125,14,0.19423174858093262
0.9578125,12,0.1966710090637207
0.9578125,12,0.19909000396728516
0.947265625,15,0.20699596405029297
0.954296875,13,0.20952510833740234
0.96484375,10,0.21141505241394043
0.96484375,10,0.21337199211120605
0.96484375,10,0.2153007984161377
0.961328125,11,0.21753191947937012
0.961328125,11,0.2197129726409912
0.9578125,12,0.22197675704956055
0.96484375,10,0.22389698028564453
0.954296875,13,0.22631192207336426
0.95078125,14,0.2290058135986328
0.95078125,14,0.231658935546875
0.926171875,21,0.23581504821777344
0.9578125,12,0.23812484741210938
0.96484375,10,0.24008893966674805
0.95078125,14,0.24268603324890137
0.96484375,10,0.2446439266204834
0.961328125,11,0.24672794342041016
0.9578125,12,0.24914884567260742
0.95078125,14,0.25176501274108887
0.940234375,17,0.2550017833709717
0.95078125,14,0.2576179504394531
0.954296875,13,0.2599320411682129
0.961328125,11,0.2620880603790283
0.961328125,11,0.26415491104125977
0.96484375,10,0.2659769058227539
0.96484375,10,0.2678689956665039
0.954296875,13,0.2703218460083008
0.9578125,12,0.2726621627807617
0.9578125,12,0.2749030590057373
0.954296875,13,0.2773299217224121
0.9578125,12,0.2796061038970947
0.961328125,11,0.2816469669342041
0.954296875,13,0.2841060161590576
0.96484375,10,0.28600192070007324
0.96484375,10,0.2878580093383789
0.9578125,12,0.2902028560638428
0.9015625,28,0.29549503326416016
0.96484375,10,0.29737305641174316
0.95078125,14,0.30011796951293945
0.947265625,15,0.3029599189758301
0.961328125,11,0.3051600456237793
0.940234375,17,0.30816173553466797
0.96484375,10,0.3100869655609131
0.96484375,10,0.3120579719543457
-1,4,0.3128960132598877
0.940234375,17,0.31614089012145996
0.96484375,10,0.3180060386657715
0.940234375,17,0.3213479518890381
0.954296875,13,0.32387304306030273
0.947265625,15,0.32690000534057617
0.95078125,14,0.32956385612487793
0.95078125,14,0.33226490020751953
0.947265625,15,0.33525991439819336
0.961328125,11,0.3373699188232422
0.96484375,10,0.33933186531066895
0.947265625,15,0.3422667980194092
